"pixel no"	"mm" 	"pixel val" 	"dark frame"	"flat field"	"corrected"	"smoothed"
       161	     1,288	       994	     0,000	 65535,000	    22,154	    22,154
       162	     1,296	       978	     0,000	 65535,000	     6,154	     6,154
       163	     1,304	       994	     0,000	 65535,000	    22,154	    22,154
       164	     1,312	       962	     0,000	 65535,000	    -9,846	    -9,846
       165	     1,320	       930	     0,000	 65535,000	   -41,846	   -41,846
       166	     1,328	       914	     0,000	 65535,000	   -57,846	   -57,846
       167	     1,336	       946	     0,000	 65535,000	   -25,846	   -25,846
       168	     1,344	       978	     0,000	 65535,000	     6,154	     6,154
       169	     1,352	       962	     0,000	 65535,000	    -9,846	    -9,846
       170	     1,360	       930	     0,000	 65535,000	   -41,846	   -41,846
       171	     1,368	       946	     0,000	 65535,000	   -25,846	   -25,846
       172	     1,376	       962	     0,000	 65535,000	    -9,846	    -9,846
       173	     1,384	       978	     0,000	 65535,000	     6,154	     6,154
       174	     1,392	       994	     0,000	 65535,000	    22,154	    22,154
       175	     1,400	       962	     0,000	 65535,000	    -9,846	    -9,846
       176	     1,408	       962	     0,000	 65535,000	    -9,846	    -9,846
       177	     1,416	       946	     0,000	 65535,000	   -25,846	   -25,846
       178	     1,424	       978	     0,000	 65535,000	     6,154	     6,154
       179	     1,432	       962	     0,000	 65535,000	    -9,846	    -9,846
       180	     1,440	       962	     0,000	 65535,000	    -9,846	    -9,846
       181	     1,448	       962	     0,000	 65535,000	    -9,846	    -9,846
       182	     1,456	       962	     0,000	 65535,000	    -9,846	    -9,846
       183	     1,464	       962	     0,000	 65535,000	    -9,846	    -9,846
       184	     1,472	       946	     0,000	 65535,000	   -25,846	   -25,846
       185	     1,480	       930	     0,000	 65535,000	   -41,846	   -41,846
       186	     1,488	       930	     0,000	 65535,000	   -41,846	   -41,846
       187	     1,496	       994	     0,000	 65535,000	    22,154	    22,154
       188	     1,504	       930	     0,000	 65535,000	   -41,846	   -41,846
       189	     1,512	       978	     0,000	 65535,000	     6,154	     6,154
       190	     1,520	       962	     0,000	 65535,000	    -9,846	    -9,846
       191	     1,528	       946	     0,000	 65535,000	   -25,846	   -25,846
       192	     1,536	       962	     0,000	 65535,000	    -9,846	    -9,846
       193	     1,544	       946	     0,000	 65535,000	   -25,846	   -25,846
       194	     1,552	       930	     0,000	 65535,000	   -41,846	   -41,846
       195	     1,560	       930	     0,000	 65535,000	   -41,846	   -41,846
       196	     1,568	       914	     0,000	 65535,000	   -57,846	   -57,846
       197	     1,576	       978	     0,000	 65535,000	     6,154	     6,154
       198	     1,584	      1010	     0,000	 65535,000	    38,154	    38,154
       199	     1,592	      1042	     0,000	 65535,000	    70,154	    70,154
       200	     1,600	      1010	     0,000	 65535,000	    38,154	    38,154
       201	     1,608	       994	     0,000	 65535,000	    22,154	    22,154
       202	     1,616	       946	     0,000	 65535,000	   -25,846	   -25,846
       203	     1,624	       978	     0,000	 65535,000	     6,154	     6,154
       204	     1,632	       978	     0,000	 65535,000	     6,154	     6,154
       205	     1,640	       962	     0,000	 65535,000	    -9,846	    -9,846
       206	     1,648	       914	     0,000	 65535,000	   -57,846	   -57,846
       207	     1,656	       882	     0,000	 65535,000	   -89,846	   -89,846
       208	     1,664	       946	     0,000	 65535,000	   -25,846	   -25,846
       209	     1,672	       978	     0,000	 65535,000	     6,154	     6,154
       210	     1,680	       946	     0,000	 65535,000	   -25,846	   -25,846
       211	     1,688	      1010	     0,000	 65535,000	    38,154	    38,154
       212	     1,696	       994	     0,000	 65535,000	    22,154	    22,154
       213	     1,704	       946	     0,000	 65535,000	   -25,846	   -25,846
       214	     1,712	       978	     0,000	 65535,000	     6,154	     6,154
       215	     1,720	       994	     0,000	 65535,000	    22,154	    22,154
       216	     1,728	       994	     0,000	 65535,000	    22,154	    22,154
       217	     1,736	       978	     0,000	 65535,000	     6,154	     6,154
       218	     1,744	       962	     0,000	 65535,000	    -9,846	    -9,846
