"pixel no"	"mm" 	"pixel val" 	"dark frame"	"flat field"	"corrected"	"smoothed"
       283	     2,264	       962	     0,000	 65535,000	    12,308	    12,308
       284	     2,272	       914	     0,000	 65535,000	   -35,692	   -35,692
       285	     2,280	       994	     0,000	 65535,000	    44,308	    44,308
       286	     2,288	       994	     0,000	 65535,000	    44,308	    44,308
       287	     2,296	       962	     0,000	 65535,000	    12,308	    12,308
       288	     2,304	       978	     0,000	 65535,000	    28,308	    28,308
       289	     2,312	       978	     0,000	 65535,000	    28,308	    28,308
       290	     2,320	       930	     0,000	 65535,000	   -19,692	   -19,692
       291	     2,328	       898	     0,000	 65535,000	   -51,692	   -51,692
       292	     2,336	       930	     0,000	 65535,000	   -19,692	   -19,692
       293	     2,344	       930	     0,000	 65535,000	   -19,692	   -19,692
       294	     2,352	       930	     0,000	 65535,000	   -19,692	   -19,692
       295	     2,360	       930	     0,000	 65535,000	   -19,692	   -19,692
       296	     2,368	       978	     0,000	 65535,000	    28,308	    28,308
       297	     2,376	       962	     0,000	 65535,000	    12,308	    12,308
       298	     2,384	       946	     0,000	 65535,000	    -3,692	    -3,692
       299	     2,392	       978	     0,000	 65535,000	    28,308	    28,308
       300	     2,400	       978	     0,000	 65535,000	    28,308	    28,308
       301	     2,408	       962	     0,000	 65535,000	    12,308	    12,308
       302	     2,416	       946	     0,000	 65535,000	    -3,692	    -3,692
       303	     2,424	       962	     0,000	 65535,000	    12,308	    12,308
       304	     2,432	       962	     0,000	 65535,000	    12,308	    12,308
       305	     2,440	       946	     0,000	 65535,000	    -3,692	    -3,692
       306	     2,448	       978	     0,000	 65535,000	    28,308	    28,308
       307	     2,456	      1010	     0,000	 65535,000	    60,308	    60,308
       308	     2,464	       978	     0,000	 65535,000	    28,308	    28,308
       309	     2,472	       994	     0,000	 65535,000	    44,308	    44,308
       310	     2,480	       962	     0,000	 65535,000	    12,308	    12,308
       311	     2,488	       946	     0,000	 65535,000	    -3,692	    -3,692
       312	     2,496	       946	     0,000	 65535,000	    -3,692	    -3,692
       313	     2,504	       930	     0,000	 65535,000	   -19,692	   -19,692
       314	     2,512	       914	     0,000	 65535,000	   -35,692	   -35,692
       315	     2,520	       930	     0,000	 65535,000	   -19,692	   -19,692
       316	     2,528	       962	     0,000	 65535,000	    12,308	    12,308
       317	     2,536	       978	     0,000	 65535,000	    28,308	    28,308
       318	     2,544	      1010	     0,000	 65535,000	    60,308	    60,308
       319	     2,552	       994	     0,000	 65535,000	    44,308	    44,308
       320	     2,560	       962	     0,000	 65535,000	    12,308	    12,308
       321	     2,568	       946	     0,000	 65535,000	    -3,692	    -3,692
       322	     2,576	       946	     0,000	 65535,000	    -3,692	    -3,692
       323	     2,584	       994	     0,000	 65535,000	    44,308	    44,308
       324	     2,592	       930	     0,000	 65535,000	   -19,692	   -19,692
       325	     2,600	       914	     0,000	 65535,000	   -35,692	   -35,692
       326	     2,608	       946	     0,000	 65535,000	    -3,692	    -3,692
       327	     2,616	       962	     0,000	 65535,000	    12,308	    12,308
       328	     2,624	       962	     0,000	 65535,000	    12,308	    12,308
       329	     2,632	       962	     0,000	 65535,000	    12,308	    12,308
       330	     2,640	      1010	     0,000	 65535,000	    60,308	    60,308
       331	     2,648	      1010	     0,000	 65535,000	    60,308	    60,308
       332	     2,656	       962	     0,000	 65535,000	    12,308	    12,308
       333	     2,664	       930	     0,000	 65535,000	   -19,692	   -19,692
       334	     2,672	       930	     0,000	 65535,000	   -19,692	   -19,692
       335	     2,680	       882	     0,000	 65535,000	   -67,692	   -67,692
       336	     2,688	       914	     0,000	 65535,000	   -35,692	   -35,692
       337	     2,696	       978	     0,000	 65535,000	    28,308	    28,308
       338	     2,704	       930	     0,000	 65535,000	   -19,692	   -19,692
       339	     2,712	       946	     0,000	 65535,000	    -3,692	    -3,692
       340	     2,720	      1010	     0,000	 65535,000	    60,308	    60,308
       341	     2,728	       962	     0,000	 65535,000	    12,308	    12,308
       342	     2,736	       962	     0,000	 65535,000	    12,308	    12,308
       343	     2,744	       978	     0,000	 65535,000	    28,308	    28,308
       344	     2,752	       994	     0,000	 65535,000	    44,308	    44,308
       345	     2,760	       962	     0,000	 65535,000	    12,308	    12,308
       346	     2,768	       978	     0,000	 65535,000	    28,308	    28,308
       347	     2,776	       994	     0,000	 65535,000	    44,308	    44,308
       348	     2,784	       978	     0,000	 65535,000	    28,308	    28,308
       349	     2,792	       978	     0,000	 65535,000	    28,308	    28,308
       350	     2,800	       994	     0,000	 65535,000	    44,308	    44,308
       351	     2,808	       978	     0,000	 65535,000	    28,308	    28,308
       352	     2,816	      1010	     0,000	 65535,000	    60,308	    60,308
       353	     2,824	       978	     0,000	 65535,000	    28,308	    28,308
       354	     2,832	       946	     0,000	 65535,000	    -3,692	    -3,692
       355	     2,840	       994	     0,000	 65535,000	    44,308	    44,308
       356	     2,848	       978	     0,000	 65535,000	    28,308	    28,308
       357	     2,856	       994	     0,000	 65535,000	    44,308	    44,308
       358	     2,864	       962	     0,000	 65535,000	    12,308	    12,308
       359	     2,872	       946	     0,000	 65535,000	    -3,692	    -3,692
       360	     2,880	       994	     0,000	 65535,000	    44,308	    44,308
       361	     2,888	       962	     0,000	 65535,000	    12,308	    12,308
       362	     2,896	       946	     0,000	 65535,000	    -3,692	    -3,692
       363	     2,904	       978	     0,000	 65535,000	    28,308	    28,308
       364	     2,912	      1010	     0,000	 65535,000	    60,308	    60,308
       365	     2,920	       962	     0,000	 65535,000	    12,308	    12,308
       366	     2,928	       962	     0,000	 65535,000	    12,308	    12,308
       367	     2,936	       962	     0,000	 65535,000	    12,308	    12,308
       368	     2,944	       946	     0,000	 65535,000	    -3,692	    -3,692
       369	     2,952	      1010	     0,000	 65535,000	    60,308	    60,308
       370	     2,960	      1010	     0,000	 65535,000	    60,308	    60,308
       371	     2,968	       978	     0,000	 65535,000	    28,308	    28,308
       372	     2,976	       946	     0,000	 65535,000	    -3,692	    -3,692
       373	     2,984	       978	     0,000	 65535,000	    28,308	    28,308
       374	     2,992	       994	     0,000	 65535,000	    44,308	    44,308
       375	     3,000	       962	     0,000	 65535,000	    12,308	    12,308
       376	     3,008	       978	     0,000	 65535,000	    28,308	    28,308
       377	     3,016	       994	     0,000	 65535,000	    44,308	    44,308
       378	     3,024	       994	     0,000	 65535,000	    44,308	    44,308
       379	     3,032	      1010	     0,000	 65535,000	    60,308	    60,308
       380	     3,040	      1010	     0,000	 65535,000	    60,308	    60,308
       381	     3,048	      1010	     0,000	 65535,000	    60,308	    60,308
       382	     3,056	      1010	     0,000	 65535,000	    60,308	    60,308
       383	     3,064	      1010	     0,000	 65535,000	    60,308	    60,308
       384	     3,072	       978	     0,000	 65535,000	    28,308	    28,308
       385	     3,080	      1042	     0,000	 65535,000	    92,308	    92,308
       386	     3,088	      1026	     0,000	 65535,000	    76,308	    76,308
       387	     3,096	       994	     0,000	 65535,000	    44,308	    44,308
       388	     3,104	      1010	     0,000	 65535,000	    60,308	    60,308
       389	     3,112	      1042	     0,000	 65535,000	    92,308	    92,308
       390	     3,120	      1010	     0,000	 65535,000	    60,308	    60,308
       391	     3,128	      1026	     0,000	 65535,000	    76,308	    76,308
       392	     3,136	      1010	     0,000	 65535,000	    60,308	    60,308
       393	     3,144	       994	     0,000	 65535,000	    44,308	    44,308
       394	     3,152	       946	     0,000	 65535,000	    -3,692	    -3,692
       395	     3,160	       978	     0,000	 65535,000	    28,308	    28,308
       396	     3,168	       962	     0,000	 65535,000	    12,308	    12,308
       397	     3,176	       978	     0,000	 65535,000	    28,308	    28,308
       398	     3,184	      1042	     0,000	 65535,000	    92,308	    92,308
       399	     3,192	      1042	     0,000	 65535,000	    92,308	    92,308
       400	     3,200	      1010	     0,000	 65535,000	    60,308	    60,308
       401	     3,208	      1026	     0,000	 65535,000	    76,308	    76,308
       402	     3,216	      1010	     0,000	 65535,000	    60,308	    60,308
       403	     3,224	       978	     0,000	 65535,000	    28,308	    28,308
       404	     3,232	      1026	     0,000	 65535,000	    76,308	    76,308
